transcript_Id,Interviewer,Child,Sentiment (window size 7 / no threshold)
NA0016-M6,HM WHAT ELSE HAPPENED,Then that was when he was just being nasty and saying mean things,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5411, 0.5450, 0.5480, 0.5378], grad_fn=<DivBackward0>))"
NA0016-M6,HM-HM,And that was the part where he hurt Mum,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5424, 0.5453, 0.5477, 0.5396], grad_fn=<DivBackward0>))"
NA0016-M6,TELL ME MORE ABOUT THE PART WHERE HE’S HURT YOUR MUM,He just hurt her and she fell down on the ground,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5452, 0.5478, 0.5495, 0.5433], grad_fn=<DivBackward0>))"
NA0016-M6,HM-HM,And she wasn't moving,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5448, 0.5473, 0.5487, 0.5431], grad_fn=<DivBackward0>))"
NA0072-PC,OKAY YOU SAID THAT THAT HAPPENED MORE THAN ONE TIME DID IT HAPPEN MORE THAN ONE TIME ON DIFFERENT DAYS OR MORE THAN ONE TIME ON THE SAME DAY,On different days,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5501, 0.5605, 0.5605, 0.5439], grad_fn=<DivBackward0>))"
NA0072-PC,OKAY TELL ME ABOUT ANOTHER TIME THAT YOU CAN REMEMBER,I woke up and his dirty spot was in his hand and then we heard a noise,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5999, 0.6045, 0.6050, 0.5970], grad_fn=<DivBackward0>))"
NA0072-PC,OKAY AND THEN WHAT HAPPENED,And then he got into bed,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5911, 0.5951, 0.5951, 0.5886], grad_fn=<DivBackward0>))"
NA0072-PC,HM-HM TELL ME ABOUT THE PART WHERE YOU SAID YOU HEARD A NOISE,We heard a noise and I think it was my aunty and uncle going to bed,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5787, 0.5818, 0.5818, 0.5768], grad_fn=<DivBackward0>))"
NA0072-PC,HM-HM AND DOES ANYONE ELSE APART FROM MUM KNOW THAT CALLUM HAD PUT HIS DIRTY SPOT IN YOUR BOTTOM,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5642, 0.5664, 0.5665, 0.5624], grad_fn=<DivBackward0>))"
NA0072-PC,OKAY SO WHERE WERE YOUR AUNTY AND UNCLE WHEN CALLUM PUT HIS DIRTY SPOT IN YOUR BOTTOM,I think they were asleep,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5560, 0.5580, 0.5581, 0.5546], grad_fn=<DivBackward0>))"
NA0072-PC,OKAY AND HAS CALLUM EVER SAID ANYTHING TO YOU ABOUT PUTTING HIS DIRTY SPOT IN YOUR BOTTOM,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5508, 0.5524, 0.5526, 0.5494], grad_fn=<DivBackward0>))"
NA0085-PC,UP TO YOUR CHIN ALL RIGHT SO TELL ME ABOUT THE BIT WHEN HE TICKLES YOUR MINI HOW LONG DOES HE DO THIS FOR,A long time,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.6018, 0.6092, 0.6103, 0.5958], grad_fn=<DivBackward0>))"
NA0085-PC,A LONG TIME WHAT DOES IT FEEL LIKE,A bit yucky,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5992, 0.6045, 0.6071, 0.5935], grad_fn=<DivBackward0>))"
NA0085-PC,OKAY ALL RIGHT WHEN THIS HAPPENS WHERE’S MUM,She's at work,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5883, 0.5924, 0.5938, 0.5846], grad_fn=<DivBackward0>))"
NA0085-PC,HM-HM I WANT TO FIND OUT A BIT MORE ABOUT WHERE THIS HAPPENED WHERE DO YOU HAVE YOUR BATH,In the bathroom in the big one,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5936, 0.5968, 0.5971, 0.5911], grad_fn=<DivBackward0>))"
NA0085-PC,IN THE BIG BATHROOM OKAY SO I KNOW A LITTLE BIT ABOUT YOUR FAMILY BUT CAN YOU TELL ME A BIT MORE ABOUT YOUR FAMILY I KNOW YOU’VE GOT A MUM AND STEPHEN CAN YOU TELL ME MORE ABOUT YOUR FAMILY,Yes,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5714, 0.5737, 0.5740, 0.5696], grad_fn=<DivBackward0>))"
NA0085-PC,TELL ME WHO’S IN YOUR FAMILY,My real dad but he doesn't live with us and then we have one dog,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5703, 0.5721, 0.5724, 0.5688], grad_fn=<DivBackward0>))"
NA0085-PC,OH OKAY SO THERE’S MUM AND STEPHEN AND YOU HAVE ONE DOG,Hm-hm,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5432, 0.5451, 0.5454, 0.5419], grad_fn=<DivBackward0>))"
NA0023-PC,OKAY SO WHEN YOU SAY HE WIPED CAN YOU DESCRIBE TO ME HOW HE DID THAT,He just wiped the wee,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5791, 0.5882, 0.5895, 0.5725], grad_fn=<DivBackward0>))"
NA0023-PC,HM-HM DID HE USE ANYTHING,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5846, 0.5931, 0.5928, 0.5802], grad_fn=<DivBackward0>))"
NA0023-PC,WHAT WAS THAT,Just his fingers,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5763, 0.5826, 0.5835, 0.5716], grad_fn=<DivBackward0>))"
NA0023-PC,OKAY AND THEN WHAT HAPPENED,And then I started crying,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5558, 0.5600, 0.5620, 0.5518], grad_fn=<DivBackward0>))"
NA0023-PC,HM-HM,And then he ran away,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5463, 0.5494, 0.5505, 0.5429], grad_fn=<DivBackward0>))"
NA0023-PC,HE RAN AWAY,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5389, 0.5434, 0.5440, 0.5361], grad_fn=<DivBackward0>))"
NA0023-PC,OKAY SO YOU MENTIONED BEFORE THAT HE SAID HE HAD TO HELP YOU CAN YOU TELL ME MORE ABOUT THAT,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5607, 0.5639, 0.5643, 0.5586], grad_fn=<DivBackward0>))"
