transcript_Id,Interviewer,Child,Sentiment (window size 5 / no threshold)
NA0047-PC,AND THEN WHAT HAPPENED,I started crying,"{'sequence': 'He tells me to go on my hands and knees. And then he put the stick in my bottom. No. I started crying', 'labels': ['fear', 'sadness', 'anger', 'enjoyment'], 'scores': [0.38810887932777405, 0.3493322730064392, 0.2258894145488739, 0.03666941449046135]}"
NA0047-PC,OKAY DID IT HURT,Yeah,"{'sequence': 'He tells me to go on my hands and knees. And then he put the stick in my bottom. No. I started crying. Yeah', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.5695738792419434, 0.26057517528533936, 0.14675863087177277, 0.023092348128557205]}"
NA0038-M6,HM-HM,And so that’s when I started crying a lot and I couldn’t stop crying,"{'sequence': 'And so that’s when I started crying a lot and I couldn’t stop crying', 'labels': ['sadness', 'enjoyment', 'fear', 'anger'], 'scores': [0.6872609257698059, 0.1347263753414154, 0.13012844324111938, 0.047884225845336914]}"
NA0038-M6,HM-HM AND WHAT HAPPENED NEXT,Then he just told me that we don’t have to play anymore,"{'sequence': 'And so that’s when I started crying a lot and I couldn’t stop crying. Then he just told me that we don’t have to play anymore', 'labels': ['sadness', 'fear', 'enjoyment', 'anger'], 'scores': [0.8213297724723816, 0.08035219460725784, 0.07716911286115646, 0.021148864179849625]}"
NA0038-M6,HM-HM,And so he just pulled his pants back up,"{'sequence': 'And so that’s when I started crying a lot and I couldn’t stop crying. Then he just told me that we don’t have to play anymore. And so he just pulled his pants back up', 'labels': ['sadness', 'fear', 'enjoyment', 'anger'], 'scores': [0.8247774243354797, 0.08856061846017838, 0.048758018761873245, 0.03790394961833954]}"
NA0038-M6,HM-HM,And I let go of my dress,"{'sequence': 'And so that’s when I started crying a lot and I couldn’t stop crying. Then he just told me that we don’t have to play anymore. And so he just pulled his pants back up. And I let go of my dress', 'labels': ['sadness', 'fear', 'enjoyment', 'anger'], 'scores': [0.8824702501296997, 0.058684322983026505, 0.037100598216056824, 0.02174481190741062]}"
NA0038-M6,HM-HM AND THEN WHAT HAPPENED,Then he just came over and he gave me a hug,"{'sequence': 'And so that’s when I started crying a lot and I couldn’t stop crying. Then he just told me that we don’t have to play anymore. And so he just pulled his pants back up. And I let go of my dress. Then he just came over and he gave me a hug', 'labels': ['sadness', 'enjoyment', 'fear', 'anger'], 'scores': [0.8606131672859192, 0.06421833485364914, 0.05742104351520538, 0.017747465521097183]}"
NA0082-PC,LOTS OF TIMES,Yes and then he just stopped,"{'sequence': 'Yes and then he just stopped', 'labels': ['fear', 'anger', 'enjoyment', 'sadness'], 'scores': [0.3007017970085144, 0.2453508824110031, 0.2432648092508316, 0.21068249642848969]}"
NA0082-PC,OKAY IS THIS THE ONLY TIME THAT HE’S HIT YOU,Yes,"{'sequence': 'Yes and then he just stopped. Yes', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.3413073718547821, 0.28559479117393494, 0.22847451269626617, 0.1446233093738556]}"
NA0082-PC,DO YOU REMEMBER HOW LONG HE WAS HITTING YOU FOR,No,"{'sequence': 'Yes and then he just stopped. Yes. No', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.4563963711261749, 0.2452641725540161, 0.18753717839717865, 0.1108023077249527]}"
NA0082-PC,NO DO YOU KNOW WHERE HE GOT THE STICK FROM,Yeah he just got it from the garden,"{'sequence': 'Yes and then he just stopped. Yes. No. Yeah he just got it from the garden', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.4346503019332886, 0.2165912240743637, 0.19291497766971588, 0.15584349632263184]}"
NA0082-PC,OKAY AND WHO IS MARK,He’s my cousin,"{'sequence': 'Yes and then he just stopped. Yes. No. Yeah he just got it from the garden. He’s my cousin', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.40021342039108276, 0.24244225025177002, 0.1852376013994217, 0.17210672795772552]}"
NA0078-PC,AND WHAT HAPPENS AFTER THAT,And then I played outside,"{'sequence': 'And then I played outside', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.9597731232643127, 0.01964181661605835, 0.012745765969157219, 0.007839348167181015]}"
NA0078-PC,YOU PLAY OUTSIDE OKAY YOU’VE DONE A GREAT JOB IN TALKING TO ME TODAY YOU’RE DOING REALLY WELL TELLME JUST FROM THE BEGINNING WHEN HE FOLLOWS YOU INTO THE CUPBOARD JUST TELL ME THAT BIT WHEN HE FOLLOWS YOU INTO THE CUPBOARD SO THE BIT WHEN HE GOES FIRST,He pulls his pants down,"{'sequence': 'And then I played outside. He pulls his pants down', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.8673824667930603, 0.054141927510499954, 0.049692872911691666, 0.028782736510038376]}"
NA0078-PC,YEAH WHAT THEN,He showed me his willy,"{'sequence': 'And then I played outside. He pulls his pants down. He showed me his willy', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.6762456893920898, 0.15260757505893707, 0.10197991132736206, 0.06916678696870804]}"
NA0078-PC,SO HE FOLLOWS YOU INTO THE CUPBOARD AND THEN HE PULLS HIS PANTS DOWN AND SHOWS YOU HIS WILLY IS THAT HAVE I GOT THAT RIGHT,Hm-hm,"{'sequence': 'And then I played outside. He pulls his pants down. He showed me his willy. Hm-hm', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.6539303660392761, 0.16743087768554688, 0.10629971325397491, 0.07233907282352448]}"
NA0078-PC,OKAY AND WHAT THEN,Then I have to pull my dress up,"{'sequence': 'And then I played outside. He pulls his pants down. He showed me his willy. Hm-hm. Then I have to pull my dress up', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.5774250030517578, 0.18678215146064758, 0.1467200517654419, 0.08907279372215271]}"
NA0043-PC,HM-HM WHAT HAPPENED AFTER THAT,And then we went back to play on the playground,"{'sequence': 'And then we went back to play on the playground', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.9061332941055298, 0.03969722241163254, 0.03176965191960335, 0.022399896755814552]}"
NA0043-PC,HM DID ANYTHING ELSE HAPPEN TO YOU WHILE YOU WERE IN THE TOILET WITH SAM,No,"{'sequence': 'And then we went back to play on the playground. No', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.7864471673965454, 0.0840735137462616, 0.06886328756809235, 0.060616087168455124]}"
NA0043-PC,YOU SAID THERE WERE OTHER BOYS THERE,Yes,"{'sequence': 'And then we went back to play on the playground. No. Yes', 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.6782905459403992, 0.12170343846082687, 0.1002422422170639, 0.09976371377706528]}"
NA0043-PC,WHAT HAPPENED WITH THE OTHER BOYS,They were just watching,"{'sequence': 'And then we went back to play on the playground. No. Yes. They were just watching', 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.7746222019195557, 0.09649600088596344, 0.0686076208949089, 0.0602741464972496]}"
NA0043-PC,HM-HM WHAT WERE THEY DOING WHEN THEY WERE WATCHING,They were just laughing,"{'sequence': 'And then we went back to play on the playground. No. Yes. They were just watching. They were just laughing', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.8706148266792297, 0.05006607621908188, 0.04794934391975403, 0.03136979788541794]}"
NA0079-PC,OKAY AND WHAT’S THAT,My undies,"{'sequence': 'My undies', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.5145087838172913, 0.24158689379692078, 0.12874242663383484, 0.11516191810369492]}"
NA0079-PC,OKAY AND WHAT’S YOUR UNDIES LIKE,They’re white,"{'sequence': 'My undies. They’re white', 'labels': ['enjoyment', 'fear', 'sadness', 'anger'], 'scores': [0.5657662153244019, 0.17362983524799347, 0.1400521844625473, 0.12055166810750961]}"
NA0079-PC,THEY’RE WHITE UNDIES OKAY GOOD GIRL OKAY THAT’S BRILLIANT YOU’VE GIVEN ME LOTS OF INFORMATION THERE SOPHIE OKAY SO WHERE WOULD YOUR CLOTHES BE NOW,He pulled my undies off,"{'sequence': 'My undies. They’re white. He pulled my undies off', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.38651734590530396, 0.25562354922294617, 0.20268620550632477, 0.1551728993654251]}"
NA0079-PC,OKAY AND WHERE WERE THEY WHERE DID THEY GO,I don’t know,"{'sequence': 'My undies. They’re white. He pulled my undies off. I don’t know', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.3504123389720917, 0.2709982395172119, 0.2198883593082428, 0.1587010622024536]}"
NA0079-PC,OKAY THAT’S FINE AND WHEN YOU TALK TO MUMMY DID YOU TELL MUMMY THAT YOUR UNDIES WERE OFF,No,"{'sequence': 'My undies. They’re white. He pulled my undies off. I don’t know. No', 'labels': ['fear', 'enjoyment', 'anger', 'sadness'], 'scores': [0.2921091914176941, 0.27926206588745117, 0.2405214160680771, 0.18810735642910004]}"
NA0054-PC,HM-HM,And I really needed to go to the toilet,"{'sequence': 'And I really needed to go to the toilet', 'labels': ['anger', 'fear', 'sadness', 'enjoyment'], 'scores': [0.34031185507774353, 0.3104722797870636, 0.22759674489498138, 0.12161917239427567]}"
NA0054-PC,OKAY AND THEN WHAT HAPPENED NEXT,I went to the toilet by myself because Mum couldn’t leave my baby brother by himself,"{'sequence': 'And I really needed to go to the toilet. I went to the toilet by myself because Mum couldn’t leave my baby brother by himself', 'labels': ['fear', 'sadness', 'anger', 'enjoyment'], 'scores': [0.3981739282608032, 0.2432578206062317, 0.23300109803676605, 0.12556713819503784]}"
NA0054-PC,AH-HA,And then I went to the toilet by myself,"{'sequence': 'And I really needed to go to the toilet. I went to the toilet by myself because Mum couldn’t leave my baby brother by himself. And then I went to the toilet by myself', 'labels': ['fear', 'sadness', 'anger', 'enjoyment'], 'scores': [0.37804558873176575, 0.2541884183883667, 0.24137727916240692, 0.12638871371746063]}"
NA0054-PC,OKAY AND TELL ME EVERYTHING THAT HAPPENED FROM WHEN YOU WENT TO THE TOILET,I went into the toilet and I didn’t lock the door because I didn’t want to get stuck in,"{'sequence': 'And I really needed to go to the toilet. I went to the toilet by myself because Mum couldn’t leave my baby brother by himself. And then I went to the toilet by myself. I went into the toilet and I didn’t lock the door because I didn’t want to get stuck in', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.3866358995437622, 0.2512604594230652, 0.23638129234313965, 0.12572231888771057]}"
NA0054-PC,HM-HM,And then the bad man came inside,"{'sequence': 'And I really needed to go to the toilet. I went to the toilet by myself because Mum couldn’t leave my baby brother by himself. And then I went to the toilet by myself. I went into the toilet and I didn’t lock the door because I didn’t want to get stuck in. And then the bad man came inside', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.46880924701690674, 0.2252829521894455, 0.19119113683700562, 0.11471659690141678]}"
NA0038-M6,HM-HM,So that’s what I was doing and he was helping me,"{'sequence': 'So that’s what I was doing and he was helping me', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.5584750175476074, 0.17476727068424225, 0.1602543145418167, 0.10650338232517242]}"
NA0038-M6,HM-HM AND CAN YOU TELL ME MORE ABOUT WHAT HAPPENED IN THE CUPBOARD BECAUSE REMEMBER I WASN’T THERE SO I DON’T KNOW WHAT HAPPENED,He said that the game was called show and tell,"{'sequence': 'So that’s what I was doing and he was helping me. He said that the game was called show and tell', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.7775801420211792, 0.09182998538017273, 0.08946745842695236, 0.041122421622276306]}"
NA0038-M6,HM-HM,But when I play normal show and tell it’s not with your privates,"{'sequence': 'So that’s what I was doing and he was helping me. He said that the game was called show and tell. But when I play normal show and tell it’s not with your privates', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.6706625819206238, 0.13433988392353058, 0.11974573880434036, 0.07525176554918289]}"
NA0038-M6,HM-HM AND SO WHAT HAPPENED WHEN THERE WAS A SURPRISE,It was just when he showed me his gross willy,"{'sequence': 'So that’s what I was doing and he was helping me. He said that the game was called show and tell. But when I play normal show and tell it’s not with your privates. It was just when he showed me his gross willy', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.5318991541862488, 0.19066496193408966, 0.1733187586069107, 0.10411718487739563]}"
NA0038-M6,HM-HM,And it made me really scared,"{'sequence': 'So that’s what I was doing and he was helping me. He said that the game was called show and tell. But when I play normal show and tell it’s not with your privates. It was just when he showed me his gross willy. And it made me really scared', 'labels': ['fear', 'anger', 'enjoyment', 'sadness'], 'scores': [0.8740466833114624, 0.04918791353702545, 0.04703719913959503, 0.02972823940217495]}"
