transcript_Id,Interviewer,Child,Sentiment (window size 3 / no threshold)
NA0077-PC,FOR A SHORT TIME OKAY AND DID POP SAY ANYTHING,No,"{'sequence': 'For a short time. No', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.3279484808444977, 0.24959038197994232, 0.23053033649921417, 0.19193075597286224]}"
NA0077-PC,OKAY SO TELL ME MORE ABOUT WHEN POP GRABBED YOU ON THE GIRLIE BITS,He just was sitting next to me and then he put his hand down and I could feel it there,"{'sequence': 'For a short time. No. He just was sitting next to me and then he put his hand down and I could feel it there', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.2815570533275604, 0.2771676778793335, 0.22212283313274384, 0.21915239095687866]}"
NA0098-PC,OH OKAY YEAH,And then he put something into my bottom,"{'sequence': 'And then he put something into my bottom', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.30556315183639526, 0.2892182469367981, 0.26589199900627136, 0.1393265426158905]}"
NA0098-PC,YEAH OKAY SOMETHING IN YOUR BOTTOM THEN WHAT HAPPENED,And then it really hurt and I started crying,"{'sequence': 'And then he put something into my bottom. And then it really hurt and I started crying', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.43120792508125305, 0.276249498128891, 0.22234299778938293, 0.07019957154989243]}"
NA0098-PC,OKAY DID ANYTHING ELSE HAPPEN,Yes he pulled it out and put it back in a few times,"{'sequence': 'And then he put something into my bottom. And then it really hurt and I started crying. Yes he pulled it out and put it back in a few times', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.5183257460594177, 0.22316491603851318, 0.2088669240474701, 0.04964238405227661]}"
NA0052-PC,NOTHING AND WHAT WERE YOU DOING,Crying,"{'sequence': 'Crying', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.9009634852409363, 0.07155841588973999, 0.014880706556141376, 0.012597380205988884]}"
NA0052-PC,OKAY AND THEN WHAT HAPPENED WHEN HE’S HIT YOU A HUNDRED TIMES,Then he left,"{'sequence': 'Crying. Then he left', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.8503432273864746, 0.0967828631401062, 0.028404386714100838, 0.02446955069899559]}"
NA0052-PC,HE DID WHAT SORRY,He left,"{'sequence': 'Crying. Then he left. He left', 'labels': ['sadness', 'fear', 'anger', 'enjoyment'], 'scores': [0.8748125433921814, 0.07845847308635712, 0.023511646315455437, 0.02321729063987732]}"
NA0079-PC,LAST NAME,It’s Brown,"{'sequence': 'It’s Brown', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.5510289072990417, 0.19984304904937744, 0.1523817479610443, 0.09674634784460068]}"
NA0079-PC,OKAY OKAY SO DAD’S NAME IS LEWIS BROWN OKAY AND WHEN DID YOU LAST SEE DADDY,About two weeks ago,"{'sequence': 'It’s Brown. About two weeks ago', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.5201023817062378, 0.1822049468755722, 0.15250302851200104, 0.14518965780735016]}"
NA0079-PC,TWO WEEKS OKAY OKAY AND DID YOU SEE DADDY AFTER THAT,No,"{'sequence': 'It’s Brown. About two weeks ago. No', 'labels': ['enjoyment', 'sadness', 'anger', 'fear'], 'scores': [0.4245032072067261, 0.22239947319030762, 0.19710610806941986, 0.15599121153354645]}"
NA0002-PC,AT LUNCHTIME AND TELL ME EVERYTHING THAT HAPPENS WHEN YOU GO INTO THE TOILET WITH DANIEL AT LUNCHTIME RIGHT FROM THE BEGINNING WHEN YOU FIRST GO INTO THE TOILET WHAT HAPPENS,Daniel and I we were playing on the monkey bars and we needed to go to the toilet so we went together,"{'sequence': 'Daniel and I we were playing on the monkey bars and we needed to go to the toilet so we went together', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.5584819316864014, 0.1948588341474533, 0.12485349923372269, 0.12180574238300323]}"
NA0002-PC,OKAY AND THEN WHAT HAPPENED AFTER THAT,When we got in the toilet one of the teachers he came in,"{'sequence': 'Daniel and I we were playing on the monkey bars and we needed to go to the toilet so we went together. When we got in the toilet one of the teachers he came in', 'labels': ['enjoyment', 'fear', 'anger', 'sadness'], 'scores': [0.5258117318153381, 0.207724466919899, 0.16010001301765442, 0.10636381059885025]}"
NA0002-PC,HM-HM,And he told us that he wanted to teach us a new game,"{'sequence': 'Daniel and I we were playing on the monkey bars and we needed to go to the toilet so we went together. When we got in the toilet one of the teachers he came in. And he told us that he wanted to teach us a new game', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.6964518427848816, 0.13762958347797394, 0.08427882939577103, 0.08163970708847046]}"
NA0082-PC,OKAY SO NO ONE ELSE WAS HOME WHERE WAS EVERYONE ELSE,Work,"{'sequence': 'Work', 'labels': ['fear', 'anger', 'enjoyment', 'sadness'], 'scores': [0.3845385015010834, 0.2740342617034912, 0.20385389029979706, 0.13757336139678955]}"
NA0082-PC,AT WORK OKAY AND WHY WAS MARK THERE,To play,"{'sequence': 'Work. To play', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.9538960456848145, 0.019374622032046318, 0.015633955597877502, 0.011095406487584114]}"
NA0082-PC,TO PLAY OKAY OKAY SO YOU’VE TOLD ME QUITE A BIT LET ME JUST DOUBLE-CHECK THAT I’VE GOT ALL OF THAT RIGHT SO MARK WAS WITH YOU AND YOU WERE PLAYING NINTENDO AND YOU STOOD UP AND BROKE THE CONTROLLER AND THEN HE GOT ANGRY AT YOU FOR THAT SO YOU WENT TO THE GARDEN AND GOT A STICK AND THEN HE HIT YOU WITH IT LOTS OF TIMES AND THEN AFTER THAT HE JUST LEFT AND HE TOLD YOU NOT TO TELL ANYONE,Yes,"{'sequence': 'Work. To play. Yes', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.9429481625556946, 0.02444632537662983, 0.02109619975090027, 0.011509306728839874]}"
NA0006-PC ,DID HE SAY ANYTHING ELSE TO YOU,Yeah,"{'sequence': 'Yeah', 'labels': ['enjoyment', 'anger', 'fear', 'sadness'], 'scores': [0.5612317323684692, 0.17821335792541504, 0.15688201785087585, 0.10367293655872345]}"
NA0006-PC ,TELL ME WHAT HE SAID,He just said that his job was to help all the little girls in the toilet,"{'sequence': 'Yeah. He just said that his job was to help all the little girls in the toilet', 'labels': ['sadness', 'anger', 'fear', 'enjoyment'], 'scores': [0.273269921541214, 0.2628081440925598, 0.25547391176223755, 0.20844806730747223]}"
NA0006-PC ,YEAH,And he said that he has to help me,"{'sequence': 'Yeah. He just said that his job was to help all the little girls in the toilet. And he said that he has to help me', 'labels': ['fear', 'anger', 'enjoyment', 'sadness'], 'scores': [0.27313849329948425, 0.2566703259944916, 0.25355544686317444, 0.21663570404052734]}"
NA0064-PC,YEAH WHAT MAKES YOU FEEL UNSAFE,When Sam makes us go into the toilet,"{'sequence': 'When Sam makes us go into the toilet', 'labels': ['fear', 'anger', 'enjoyment', 'sadness'], 'scores': [0.38574114441871643, 0.2800045609474182, 0.17029905319213867, 0.1639552265405655]}"
NA0064-PC,OKAY HOW DOES HE MAKE YOU,I don’t know,"{'sequence': 'When Sam makes us go into the toilet. I don’t know', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.40079671144485474, 0.2597144842147827, 0.17845135927200317, 0.1610373705625534]}"
NA0064-PC,DON’T KNOW WHEN HE ASKS YOU TO GO INTO THE TOILET DOES HE SAY ANYTHING TO YOU WHAT DOES HE SAY,He said that we have to go in or he’ll bully us at lunchtime,"{'sequence': 'When Sam makes us go into the toilet. I don’t know. He said that we have to go in or he’ll bully us at lunchtime', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.48198336362838745, 0.2885044515132904, 0.15076424181461334, 0.0787479504942894]}"
NA0052-PC,NOW RIGHT AT THAT POINT WHERE MARK IS LOOKING ANGRY TELL ME EVERYTHING THAT HAPPENED FROM THAT POINT TILL THE POINT WHERE HE’S ASKED YOU TO LIE DOWN ON YOUR TUMMY TELL ME WHAT HE SAID AND WHERE YOU WERE,He told me to go to my room and lie down on my tummy,"{'sequence': 'He told me to go to my room and lie down on my tummy', 'labels': ['fear', 'anger', 'enjoyment', 'sadness'], 'scores': [0.33623814582824707, 0.24178403615951538, 0.23887421190738678, 0.18310359120368958]}"
NA0052-PC,OKAY AND WHEN YOU LAID DOWN ON YOUR TUMMY WHERE WAS THAT,On my bed,"{'sequence': 'He told me to go to my room and lie down on my tummy. On my bed', 'labels': ['fear', 'enjoyment', 'anger', 'sadness'], 'scores': [0.3232326805591583, 0.2948256731033325, 0.19578424096107483, 0.18615742027759552]}"
NA0052-PC,ON YOUR BED AND WHAT DID YOU THINK ABOUT THAT,I was scared,"{'sequence': 'He told me to go to my room and lie down on my tummy. On my bed. I was scared', 'labels': ['fear', 'anger', 'sadness', 'enjoyment'], 'scores': [0.8756909966468811, 0.05735351890325546, 0.054912418127059937, 0.012043103575706482]}"
