transcript_Id,Interviewer,Child,Sentiment (window size 3 / no threshold)
NA0077-PC,FOR A SHORT TIME OKAY AND DID POP SAY ANYTHING,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.4406, 0.6086, 0.6792, 0.4431], grad_fn=<DivBackward0>))"
NA0077-PC,OKAY SO TELL ME MORE ABOUT WHEN POP GRABBED YOU ON THE GIRLIE BITS,He just was sitting next to me and then he put his hand down and I could feel it there,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2922, 0.1424, 0.2199, 0.1731], grad_fn=<DivBackward0>))"
NA0098-PC,OH OKAY YEAH,And then he put something into my bottom,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3450, 0.4182, 0.4343, 0.4067], grad_fn=<DivBackward0>))"
NA0098-PC,YEAH OKAY SOMETHING IN YOUR BOTTOM THEN WHAT HAPPENED,And then it really hurt and I started crying,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3169, 0.1924, 0.2517, 0.2464], grad_fn=<DivBackward0>))"
NA0098-PC,OKAY DID ANYTHING ELSE HAPPEN,Yes he pulled it out and put it back in a few times,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2348, 0.0969, 0.1360, 0.2055], grad_fn=<DivBackward0>))"
NA0052-PC,NOTHING AND WHAT WERE YOU DOING,Crying,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.6384, 0.5089, 0.6454, 0.6765], grad_fn=<DivBackward0>))"
NA0052-PC,OKAY AND THEN WHAT HAPPENED WHEN HE’S HIT YOU A HUNDRED TIMES,Then he left,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3930, 0.3579, 0.4679, 0.3846], grad_fn=<DivBackward0>))"
NA0052-PC,HE DID WHAT SORRY,He left,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2530, 0.6116, 0.5693, 0.4343], grad_fn=<DivBackward0>))"
NA0079-PC,LAST NAME,It’s Brown,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3060, 0.3546, 0.3436, 0.3728], grad_fn=<DivBackward0>))"
NA0079-PC,OKAY OKAY SO DAD’S NAME IS LEWIS BROWN OKAY AND WHEN DID YOU LAST SEE DADDY,About two weeks ago,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2406, 0.0110, 0.1070, 0.1194], grad_fn=<DivBackward0>))"
NA0079-PC,TWO WEEKS OKAY OKAY AND DID YOU SEE DADDY AFTER THAT,No,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.1762, 0.0579, 0.1109, 0.1042], grad_fn=<DivBackward0>))"
NA0002-PC,AT LUNCHTIME AND TELL ME EVERYTHING THAT HAPPENS WHEN YOU GO INTO THE TOILET WITH DANIEL AT LUNCHTIME RIGHT FROM THE BEGINNING WHEN YOU FIRST GO INTO THE TOILET WHAT HAPPENS,Daniel and I we were playing on the monkey bars and we needed to go to the toilet so we went together,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1789, -0.0337,  0.0256,  0.0660], grad_fn=<DivBackward0>))"
NA0002-PC,OKAY AND THEN WHAT HAPPENED AFTER THAT,When we got in the toilet one of the teachers he came in,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2741, 0.1256, 0.1486, 0.1841], grad_fn=<DivBackward0>))"
NA0002-PC,HM-HM,And he told us that he wanted to teach us a new game,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2692, 0.1920, 0.2134, 0.1914], grad_fn=<DivBackward0>))"
NA0082-PC,OKAY SO NO ONE ELSE WAS HOME WHERE WAS EVERYONE ELSE,Work,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.6011, 0.7122, 0.6431, 0.6901], grad_fn=<DivBackward0>))"
NA0082-PC,AT WORK OKAY AND WHY WAS MARK THERE,To play,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3888, 0.4926, 0.4002, 0.4841], grad_fn=<DivBackward0>))"
NA0082-PC,TO PLAY OKAY OKAY SO YOU’VE TOLD ME QUITE A BIT LET ME JUST DOUBLE-CHECK THAT I’VE GOT ALL OF THAT RIGHT SO MARK WAS WITH YOU AND YOU WERE PLAYING NINTENDO AND YOU STOOD UP AND BROKE THE CONTROLLER AND THEN HE GOT ANGRY AT YOU FOR THAT SO YOU WENT TO THE GARDEN AND GOT A STICK AND THEN HE HIT YOU WITH IT LOTS OF TIMES AND THEN AFTER THAT HE JUST LEFT AND HE TOLD YOU NOT TO TELL ANYONE,Yes,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.4793, 0.6823, 0.5593, 0.5706], grad_fn=<DivBackward0>))"
NA0006-PC ,DID HE SAY ANYTHING ELSE TO YOU,Yeah,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.5349, 0.7684, 0.6707, 0.5912], grad_fn=<DivBackward0>))"
NA0006-PC ,TELL ME WHAT HE SAID,He just said that his job was to help all the little girls in the toilet,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([ 0.1580, -0.0336,  0.0558,  0.0338], grad_fn=<DivBackward0>))"
NA0006-PC ,YEAH,And he said that he has to help me,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.1838, 0.3956, 0.4029, 0.3082], grad_fn=<DivBackward0>))"
NA0064-PC,YEAH WHAT MAKES YOU FEEL UNSAFE,When Sam makes us go into the toilet,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2237, 0.2019, 0.2036, 0.2893], grad_fn=<DivBackward0>))"
NA0064-PC,OKAY HOW DOES HE MAKE YOU,I don’t know,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.1168, 0.1298, 0.1061, 0.1519], grad_fn=<DivBackward0>))"
NA0064-PC,DON’T KNOW WHEN HE ASKS YOU TO GO INTO THE TOILET DOES HE SAY ANYTHING TO YOU WHAT DOES HE SAY,He said that we have to go in or he’ll bully us at lunchtime,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3121, 0.2447, 0.2849, 0.2588], grad_fn=<DivBackward0>))"
NA0052-PC,NOW RIGHT AT THAT POINT WHERE MARK IS LOOKING ANGRY TELL ME EVERYTHING THAT HAPPENED FROM THAT POINT TILL THE POINT WHERE HE’S ASKED YOU TO LIE DOWN ON YOUR TUMMY TELL ME WHAT HE SAID AND WHERE YOU WERE,He told me to go to my room and lie down on my tummy,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.2782, 0.1722, 0.2140, 0.1601], grad_fn=<DivBackward0>))"
NA0052-PC,OKAY AND WHEN YOU LAID DOWN ON YOUR TUMMY WHERE WAS THAT,On my bed,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3283, 0.4863, 0.4569, 0.3293], grad_fn=<DivBackward0>))"
NA0052-PC,ON YOUR BED AND WHAT DID YOU THINK ABOUT THAT,I was scared,"(['fear', 'enjoyment', 'sadness', 'anger'], tensor([0.3694, 0.1139, 0.1708, 0.2126], grad_fn=<DivBackward0>))"
